PRODUCT_ID,segment
27158,8
27479,10
27658,0
27754,10
27812,5
27978,5
28219,6
28272,8
28897,1
28966,8
29037,8
29629,0
32111,10
32124,10
32456,10
32483,10
32553,0
32785,10
32916,0
33247,8
33691,0
34160,0
34204,0
34269,8
34345,10
34873,10
34997,8
34999,0
35331,8
35506,8
35510,8
35602,8
35931,8
36249,8
36406,6
37438,6
39354,8
39612,8
40488,10
40655,0
40885,8
41044,10
41258,0
41332,8
41727,8
41743,0
41919,8
42100,0
42102,8
42346,1
42385,10
42518,0
42521,8
42721,0
43020,8
43256,8
43871,8
44357,0
44433,8
44481,10
44515,8
45077,0
45240,8
45478,10
45497,8
45507,8
46041,10
46427,0
46996,8
47963,5
48021,0
48023,8
48810,10
49486,8
49659,8
50032,8
50455,8
50509,4
50526,8
50905,8
51075,0
51220,10
51716,8
52240,0
52786,8
53516,8
55375,4
56098,8
57059,4
57390,8
57462,0
59666,8
60291,4
61449,10
62255,8
62804,0
63162,8
64754,10
64842,8
65252,8
66398,0
66668,3
68779,5
70302,3
70685,10
70764,3
70929,0
71220,0
71424,10
71805,5
71938,0
73207,8
74980,8
76045,8
80131,6
80132,6
81184,8
81562,8
82337,3
84370,8
86652,8
87243,8
87493,10
88193,5
89509,0
89569,3
89776,6
90278,8
90567,3
91876,10
92496,0
93348,8
95757,8
97206,3
97659,8
100156,10
102296,5
104973,8
106860,0
107598,8
108646,10
111439,6
112811,10
113560,10
114331,10
115342,6
116104,10
117155,10
117459,0
117847,1
119909,8
121623,10
123522,8
124302,8
125788,0
126096,10
126866,0
130708,5
130783,8
133533,0
138619,8
142450,9
149348,5
151810,5
155768,8
160129,6
161354,3
163779,8
164857,8
165621,0
169373,4
170178,8
170997,9
173274,0
188978,0
190639,3
196144,4
197321,8
197681,9
200095,4
201376,4
201704,1
202684,4
202930,4
212754,3
213301,0
215256,5
215923,8
220477,3
223247,5
233094,10
242044,8
244960,10
248297,10
248903,8
256508,6
257190,8
259120,4
262910,10
263792,4
269894,3
279994,4
284611,8
287464,3
294423,10
299866,8
301126,9
317078,0
323018,3
326597,10
328274,10
333828,8
336520,0
344385,0
350312,8
350693,3
356517,4
361309,0
362166,0
365884,10
369989,9
372396,0
377253,8
378794,6
389118,4
395432,3
397896,2
398997,5
402394,3
405930,6
412587,6
413180,8
415696,3
417578,0
418738,8
420326,3
420647,2
421798,8
425376,0
431392,3
431430,8
433372,8
434262,3
434858,6
438334,8
440532,8
444016,8
446206,0
459074,8
480014,2
480433,3
485048,8
486782,8
491618,3
505630,8
511273,4
522628,10
525168,4
525750,10
529379,3
537818,0
541569,8
541711,10
543862,8
554622,0
556054,10
559431,5
561701,4
562184,8
563970,0
564474,8
564891,10
570861,0
577318,0
582065,10
590178,8
591931,0
592558,4
599207,8
616588,10
626178,6
637374,10
639121,8
645093,8
653961,8
654833,10
661300,10
666984,10
678746,8
687292,4
694803,8
696283,8
699354,8
700242,5
705959,0
706699,10
707611,8
709622,3
714433,4
715278,8
720388,10
721353,5
721678,8
734370,10
735003,3
744587,3
745278,3
751280,10
762311,0
777800,0
780495,4
781537,8
783300,8
793765,0
801564,5
813328,4
815837,8
817620,6
818980,8
818981,10
818996,10
819048,0
819059,8
819063,1
819089,4
819112,8
819115,10
819210,8
819227,8
819255,2
819302,8
819304,1
819308,7
819312,6
819316,8
819326,10
819330,7
819395,6
819400,10
819401,6
819423,6
819424,6
819453,10
819468,8
819474,6
819487,1
819502,3
819518,2
819534,10
819549,3
819573,10
819578,5
819590,10
819591,0
819593,6
819594,3
819612,8
819614,6
819643,7
819649,6
819656,0
819672,6
819675,6
819727,10
819735,5
819747,8
819748,0
819749,6
819757,8
819765,2
819777,6
819807,0
819809,8
819827,10
819834,8
819840,9
819845,9
819849,1
819890,3
819906,10
819927,2
819933,10
819969,1
819978,2
819982,10
819985,5
820011,6
820057,8
820075,8
820082,1
820112,8
820119,8
820122,1
820133,10
820135,4
820158,1
820160,8
820162,8
820165,2
820198,6
820222,0
820263,4
820291,1
820293,5
820296,5
820301,7
820321,1
820325,6
820333,8
820341,6
820347,7
820352,7
820361,2
820369,0
820378,8
820429,10
820466,4
820486,7
820491,6
820499,8
820518,3
820551,3
820560,2
820580,6
820582,7
820603,0
820612,1
820616,8
820667,0
820692,6
820701,1
820739,8
820752,5
820788,8
820798,0
820801,0
820818,8
820888,10
820895,1
820896,8
820919,6
820923,1
820935,8
820950,10
820961,6
820962,0
821007,7
821025,7
821032,7
821067,8
821083,2
821088,8
821112,3
821134,1
821136,0
821138,8
821144,0
821147,0
821156,4
821174,1
821184,0
821200,1
821209,5
821219,10
821271,0
821281,0
821292,0
821316,7
821319,0
821324,1
821344,7
821358,6
821368,8
821435,3
821464,8
821465,7
821527,8
821553,5
821556,7
821562,2
821565,7
821596,8
821605,6
821612,0
821640,0
821641,5
821648,8
821651,6
821673,10
821675,8
821695,2
821709,8
821730,1
821735,1
821741,6
821759,10
821761,0
821766,8
821780,6
821787,7
821788,7
821815,10
821825,1
821833,8
821840,1
821845,11
821863,0
821867,1
821890,7
821895,4
821923,8
821930,3
821931,8
821970,8
821974,8
821976,10
822011,8
822016,0
822046,10
822049,7
822062,0
822066,8
822073,8
822101,8
822109,8
822115,1
822133,0
822140,1
822161,8
822174,0
822178,0
822181,8
822190,0
822208,8
822212,6
822225,7
822226,1
822236,10
822238,1
822241,2
822256,0
822259,1
822280,5
822300,8
822337,0
822339,1
822342,10
822346,2
822348,7
822367,8
822407,2
822443,5
822470,8
822483,10
822484,10
822499,0
822517,10
822523,10
822524,7
822529,4
822558,0
822582,10
822583,6
822613,8
822629,8
822646,1
822652,0
822654,3
822664,6
822675,8
822677,2
822687,10
822722,8
822735,0
822739,7
822772,8
822781,0
822785,1
822812,8
822814,6
822816,0
822848,0
822860,8
822890,6
822892,7
822893,8
822931,0
822936,7
822941,8
822944,10
822953,10
822965,7
822966,7
822970,6
822984,6
822985,7
822989,6
823031,8
823095,5
823098,3
823099,7
823110,4
823114,8
823119,0
823126,8
823153,8
823169,10
823176,7
823194,11
823224,5
823255,1
823265,10
823266,7
823278,8
823292,0
823326,6
823336,4
823348,4
823349,6
823356,3
823365,0
823367,8
823368,9
823475,3
823482,10
823502,8
823503,7
823530,10
823561,8
823565,7
823570,4
823571,0
823576,11
823626,0
823641,7
823646,4
823653,10
823687,1
823688,8
823695,8
823704,2
823709,1
823721,2
823750,5
823758,2
823767,8
823775,7
823788,10
823790,11
823793,6
823795,0
823798,4
823819,0
823840,10
823850,7
823858,8
823862,7
823894,3
823910,6
823915,7
823948,10
823990,2
824005,2
824011,0
824019,8
824022,8
824037,7
824047,10
824072,7
824073,2
824074,6
824080,10
824087,9
824097,8
824108,10
824119,8
824122,3
824169,0
824176,6
824180,2
824188,4
824193,3
824209,8
824252,6
824255,0
824256,1
824272,6
824286,8
824291,5
824303,0
824305,7
824311,2
824326,10
824392,0
824396,5
824399,8
824426,3
824481,8
824502,0
824513,8
824521,5
824546,1
824550,8
824555,2
824571,8
824576,8
824593,5
824605,5
824614,10
824642,7
824661,6
824663,0
824704,0
824717,0
824738,6
824758,7
824759,10
824761,10
824771,6
824778,0
824784,6
824789,10
824796,10
824813,11
824819,6
824825,8
824843,4
824846,7
824867,8
824915,2
824923,10
824927,4
824931,5
824936,8
824957,8
824965,8
824970,0
824974,4
824977,5
825005,10
825006,8
825021,8
825029,8
825058,10
825064,10
825075,8
825114,0
825118,8
825123,10
825130,0
825134,8
825135,6
825148,10
825153,4
825160,8
825170,10
825176,10
825180,8
825208,7
825218,0
825221,0
825226,4
825243,0
825249,8
825289,7
825295,0
825313,1
825317,1
825326,10
825343,2
825348,6
825358,10
825361,10
825365,2
825391,6
825412,7
825416,0
825425,6
825437,0
825445,0
825450,0
825457,8
825462,5
825474,3
825475,0
825486,0
825494,2
825538,5
825539,8
825541,2
825550,10
825556,10
825594,5
825610,6
825616,7
825618,2
825621,1
825625,8
825650,1
825659,0
825665,7
825670,1
825682,10
825703,0
825716,8
825731,7
825748,0
825749,1
825751,1
825753,8
825847,6
825850,8
825851,10
825882,1
825895,10
825970,3
825976,1
825994,1
825999,6
826004,8
826019,6
826052,6
826067,10
826090,3
826099,3
826117,8
826120,10
826135,8
826144,1
826150,10
826156,6
826163,8
826184,8
826190,0
826197,8
826239,6
826246,5
826249,11
826252,0
826265,1
826272,2
826282,6
826348,8
826359,3
826382,4
826385,2
826419,0
826430,0
826467,6
826539,0
826566,8
826571,7
826578,0
826580,8
826593,0
826597,0
826609,8
826613,8
826624,3
826631,4
826658,10
826666,5
826690,6
826695,7
826730,8
826772,8
826784,1
826790,7
826812,6
826816,7
826829,0
826830,1
826833,8
826835,0
826842,8
826848,5
826850,5
826860,0
826873,4
826882,8
826900,0
826904,8
826920,6
826944,8
826950,6
826952,7
826961,0
826969,7
826972,0
826984,10
827009,0
827024,6
827030,8
827033,8
827047,0
827050,7
827079,10
827100,8
827108,3
827114,5
827133,5
827148,6
827160,5
827175,7
827176,8
827180,2
827194,3
827218,8
827260,8
827261,7
827271,10
827287,0
827332,7
827347,8
827361,1
827373,1
