policy,total_revenue,revenue_std,revenue_ci_lo,revenue_ci_hi,total_demand,total_discount_cost
No Discount,42789.7955153812,511.8374631158791,41840.82559706168,43633.92085676523,7933.099851650668,0.0
Uniform 10%,47449.946680702466,564.5897447332084,46275.3395304933,48517.29453118522,9874.507401406627,5272.216297855829
Uniform 20%,61305.68315356541,947.3568386819373,59547.080591133,63125.49098402479,13279.327648840272,9323.788311211407
Target Top-30 (elasticity),48488.54064136504,652.4885299666327,47348.222169824934,49685.224572138446,9628.915204770594,5001.735397736202
Target Top-30 (disc effect),59017.45723768117,767.8527471454055,57559.974946845876,60444.644795732216,12212.630129313964,6487.0887787972615
Front-Load,58915.23688980807,853.8644021741293,57400.40979803806,60471.67353657566,12298.828509080367,7159.07260005851
Target Top-30 (ROI),56548.2611979133,757.7491203627362,55127.68404407832,57939.85788206838,12086.039349995335,5622.670249424954
