model,mean_r2,median_r2,log_correlation,log_rmse,log_bias,weekly_mape_pct,lift_correlation,correct_direction_pct,pct_negative_elasticity,n_products
LightGBM,0.16823216236197022,0.07008387633141455,0.7247359605530088,0.7309772142531571,0.2728521396608054,14.423395654780585,0.20176361413232402,48.07692307692308,10.666666666666668,150
Random Forest,0.6670619891693238,0.7243296696349575,0.7350079740767528,0.7243641407348066,0.2727893366596455,17.92939815226105,0.5128018558743389,78.84615384615384,37.333333333333336,150
XGBoost,0.7464720110108221,0.8216865315506363,0.7037780749598713,0.7670310926457912,0.28852695213651103,23.07085552911051,0.3890706901968094,73.07692307692307,28.000000000000004,150
Neural Network,0.45705081343650816,0.4642443358898163,0.2176246072526039,2.54426492067834,0.29248466873666135,9.765589120057658e+25,-0.0662462936371712,71.15384615384616,56.00000000000001,150
Log-Log OLS,0.39913004001203506,0.3741669655089449,0.14078866037749063,41.133892431578516,9.630420483029342,5.608266722401494e+71,0.6275811248746478,81.73076923076923,56.666666666666664,150
