policy,reward_mean,reward_std,revenue_mean,margin_mean,discount_cost_mean,clearance_mean,budget_used_mean
zero_discount,18126.429999999997,386.39954464258886,35720.7,17824.329999999998,0.0,4802.1,0.0
random,-27974.55582417582,4365.931726500569,30406.6,7281.0599999999995,17468.899999999998,7367.0,17468.9
heuristic,21996.66401098901,94.22749979598628,39975.170000000006,16880.07,7839.029999999999,7357.7,7839.029999999999
sac,26111.10271978022,49.86346360960632,44884.645000000004,21771.595,2958.7050000000004,7360.8,2958.705000000001
